"Num","Wgt","Archaic"
"1",54,"Early"
"2",39,"Early"
"3",49,"Early"
"4",65,"Early"
"5",54,"Early"
"6",83,"Early"
"7",75,"Early"
"8",45,"Early"
"9",68,"Early"
"10",47,"Early"
"11",57,"Early"
"12",19,"Early"
"13",47,"Early"
"14",58,"Early"
"15",76,"Early"
"16",50,"Early"
"17",67,"Early"
"18",52,"Early"
"19",40,"Early"
"20",58,"Early"
"21",42,"Early"
"22",43,"Early"
"23",58,"Early"
"24",28,"Early"
"25",59,"Early"
"26",43,"Early"
"27",45,"Early"
"28",60,"Early"
"29",27,"Early"
"30",64,"Early"
"31",73,"Early"
"32",70,"Early"
"33",68,"Early"
"34",68,"Early"
"35",85,"Early"
"36",49,"Early"
"37",21,"Early"
"38",24,"Early"
"39",50,"Early"
"40",52,"Early"
"41",62,"Early"
"42",44,"Early"
"43",61,"Early"
"44",30,"Early"
"45",52,"Early"
"46",56,"Early"
"47",63,"Early"
"48",53,"Early"
"49",79,"Early"
"50",50,"Early"
"51",54,"Early"
"52",51,"Early"
"53",59,"Early"
"54",60,"Early"
"55",48,"Early"
"56",40,"Early"
"57",50,"Early"
"58",69,"Early"
"59",71,"Middle"
"60",64,"Middle"
"61",59,"Middle"
"62",65,"Middle"
"63",54,"Middle"
"64",65,"Middle"
"65",63,"Middle"
"66",52,"Middle"
"67",44,"Middle"
"68",73,"Middle"
"69",70,"Middle"
"70",56,"Middle"
"71",46,"Middle"
"72",61,"Middle"
"73",49,"Middle"
"74",51,"Middle"
"75",61,"Middle"
"76",70,"Middle"
"77",51,"Middle"
"78",42,"Middle"
"79",73,"Middle"
"80",51,"Middle"
"81",74,"Middle"
"82",40,"Middle"
"83",67,"Middle"
"84",51,"Middle"
"85",59,"Middle"
"86",68,"Middle"
"87",63,"Middle"
"88",64,"Middle"
"89",78,"Middle"
"90",62,"Middle"
"91",78,"Middle"
"92",57,"Middle"
"93",59,"Middle"
"94",31,"Middle"
"95",69,"Middle"
"96",32,"Middle"
"97",69,"Middle"
"98",80,"Middle"
"99",78,"Middle"
"100",69,"Middle"
"101",34,"Late"
"102",39,"Late"
"103",40,"Late"
"104",45,"Late"
"105",37,"Late"
"106",32,"Late"
"107",31,"Late"
"108",60,"Late"
"109",58,"Late"
"110",45,"Late"
"111",50,"Late"
"112",40,"Late"
"113",41,"Late"
"114",38,"Late"
"115",59,"Late"
"116",37,"Late"
"117",28,"Late"
"118",37,"Late"
"119",31,"Late"
"120",40,"Late"
"121",34,"Late"
"122",37,"Late"
"123",44,"Late"
"124",47,"Late"
"125",54,"Late"
"126",36,"Late"
"127",48,"Late"
