Household Unit,Bowls % of Sherds,Decoration % of Sherds,Energy Invested in Burials,Mace Heads,Fauna/Sherd Ratio,Platform,Shell/Sherd Ratio,Wasters % of Sherds,Debitage % of Lithics,Obsidian % of Lithics
1,0.25,0.03,2,0,0.32,0,0,0,0.79,0
2,0.37,0.07,3,0,0.55,0,0,0,0.35,0
3,0.15,0.01,1,1,0.1,1,0.008,0,0.32,0
4,0.19,0.01,2,0,0.2,0,0,0,0.26,0
5,0.35,0.04,3,0,0.57,0,0,0,0.69,0
6,0.21,0.01,1,0,0.13,1,0,0,0.31,0.12
7,0.24,0.01,1,0,0.19,0,0,0,0.86,0
8,0.2,0.05,2,0,0.28,0,0,0.016,0.19,0
9,0.49,0.09,3,0,0.48,0,0,0,0.28,0
10,0.23,0.02,2,0,0.24,0,0,0,0.29,0
11,0.26,0.02,2,1,0.21,1,0,0.021,0.31,0.13
12,0.19,0,1,0,0.15,0,0,0,0.46,0
13,0.31,0.04,2,0,0.37,1,0,0.025,0.26,0.1
14,0.45,0.05,3,1,0.6,1,0.009,0,0.65,0
15,0.48,0.03,3,0,0.43,0,0,0,0.43,0
16,0.09,0,1,1,0.15,0,0.005,0,0.29,0
17,0.11,0.02,1,0,0.09,0,0,0.014,0.28,0
18,0.29,0.02,2,1,0.25,1,0.007,0,0.87,0
19,0.28,0.03,2,1,0.4,0,0,0,0.31,0
20,0.19,0.03,1,0,0.05,0,0,0,0.95,0
