"","Period","Area"
"1","Early Classic",211
"2","Early Classic",154
"3","Early Classic",130
"4","Early Classic",114
"5","Early Classic",109
"6","Early Classic",90
"7","Early Classic",93
"8","Early Classic",83
"9","Early Classic",83
"10","Early Classic",79
"11","Early Classic",65
"12","Early Classic",65
"13","Early Classic",65
"14","Early Classic",67
"15","Early Classic",62
"16","Early Classic",62
"17","Early Classic",63
"18","Early Classic",64
"19","Early Classic",57
"20","Early Classic",58
"21","Early Classic",58
"22","Early Classic",59
"23","Early Classic",50
"24","Early Classic",50
"25","Early Classic",52
"26","Early Classic",54
"27","Early Classic",54
"28","Early Classic",45
"29","Early Classic",46
"30","Early Classic",47
"31","Early Classic",48
"32","Early Classic",49
"33","Early Classic",49
"34","Early Classic",40
"35","Early Classic",41
"36","Early Classic",41
"37","Early Classic",41
"38","Early Classic",42
"39","Early Classic",42
"40","Early Classic",43
"41","Early Classic",43
"42","Early Classic",35
"43","Early Classic",36
"44","Early Classic",36
"45","Early Classic",37
"46","Early Classic",38
"47","Early Classic",39
"48","Early Classic",30
"49","Early Classic",30
"50","Early Classic",31
"51","Early Classic",31
"52","Early Classic",32
"53","Early Classic",33
"54","Early Classic",34
"55","Early Classic",34
"56","Early Classic",25
"57","Early Classic",25
"58","Early Classic",25
"59","Early Classic",25
"60","Early Classic",26
"61","Early Classic",27
"62","Early Classic",28
"63","Early Classic",28
"64","Early Classic",29
"65","Early Classic",20
"66","Early Classic",22
"67","Early Classic",22
"68","Early Classic",22
"69","Early Classic",22
"70","Early Classic",23
"71","Early Classic",24
"72","Early Classic",24
"73","Early Classic",15
"74","Early Classic",15
"75","Early Classic",15
"76","Early Classic",16
"77","Early Classic",17
"78","Early Classic",17
"79","Early Classic",18
"80","Early Classic",18
"81","Early Classic",10
"82","Early Classic",10
"83","Early Classic",11
"84","Early Classic",11
"85","Early Classic",11
"86","Early Classic",11
"87","Early Classic",11
"88","Early Classic",11
"89","Early Classic",12
"90","Early Classic",12
"91","Early Classic",13
"92","Early Classic",14
"93","Early Classic",5
"94","Early Classic",6
"95","Early Classic",6
"96","Early Classic",6
"97","Early Classic",6
"98","Early Classic",6
"99","Early Classic",6
"100","Early Classic",7
"101","Early Classic",7
"102","Early Classic",8
"103","Early Classic",8
"104","Early Classic",8
"105","Early Classic",9
"106","Early Classic",9
"107","Early Classic",9
"108","Early Classic",0.5
"109","Early Classic",0.5
"110","Early Classic",1
"111","Early Classic",1
"112","Early Classic",3
"113","Early Classic",4
