"","Period","Area"
"1","Late Classic",101
"2","Late Classic",95
"3","Late Classic",99
"4","Late Classic",93
"5","Late Classic",75
"6","Late Classic",75
"7","Late Classic",76
"8","Late Classic",73
"9","Late Classic",74
"10","Late Classic",65
"11","Late Classic",68
"12","Late Classic",68
"13","Late Classic",60
"14","Late Classic",60
"15","Late Classic",60
"16","Late Classic",55
"17","Late Classic",56
"18","Late Classic",56
"19","Late Classic",57
"20","Late Classic",50
"21","Late Classic",50
"22","Late Classic",51
"23","Late Classic",52
"24","Late Classic",53
"25","Late Classic",45
"26","Late Classic",46
"27","Late Classic",46
"28","Late Classic",48
"29","Late Classic",48
"30","Late Classic",49
"31","Late Classic",40
"32","Late Classic",40
"33","Late Classic",41
"34","Late Classic",42
"35","Late Classic",42
"36","Late Classic",43
"37","Late Classic",43
"38","Late Classic",35
"39","Late Classic",35
"40","Late Classic",36
"41","Late Classic",36
"42","Late Classic",37
"43","Late Classic",39
"44","Late Classic",30
"45","Late Classic",30
"46","Late Classic",31
"47","Late Classic",33
"48","Late Classic",34
"49","Late Classic",34
"50","Late Classic",25
"51","Late Classic",25
"52","Late Classic",26
"53","Late Classic",26
"54","Late Classic",27
"55","Late Classic",28
"56","Late Classic",28
"57","Late Classic",29
"58","Late Classic",20
"59","Late Classic",20
"60","Late Classic",21
"61","Late Classic",21
"62","Late Classic",22
"63","Late Classic",22
"64","Late Classic",23
"65","Late Classic",24
"66","Late Classic",15
"67","Late Classic",15
"68","Late Classic",16
"69","Late Classic",17
"70","Late Classic",17
"71","Late Classic",17
"72","Late Classic",18
"73","Late Classic",18
"74","Late Classic",19
"75","Late Classic",19
"76","Late Classic",19
"77","Late Classic",10
"78","Late Classic",11
"79","Late Classic",12
"80","Late Classic",12
"81","Late Classic",13
"82","Late Classic",14
"83","Late Classic",14
"84","Late Classic",6
"85","Late Classic",7
"86","Late Classic",8
"87","Late Classic",8
"88","Late Classic",8
"89","Late Classic",8
"90","Late Classic",9
"91","Late Classic",9
"92","Late Classic",0.5
"93","Late Classic",3
"94","Late Classic",4
"95","Late Classic",4
