Row	Period	Area
1	Early Bronze Age	1.8
2	Early Bronze Age	1.0
3	Early Bronze Age	1.9
4	Early Bronze Age	0.6
5	Early Bronze Age	2.3
6	Early Bronze Age	1.2
7	Early Bronze Age	0.8
8	Early Bronze Age	4.2
9	Early Bronze Age	1.5
10	Early Bronze Age	2.6
11	Early Bronze Age	2.1
12	Early Bronze Age	1.7
13	Early Bronze Age	2.3
14	Early Bronze Age	2.4
15	Early Bronze Age	0.6
16	Early Bronze Age	2.9
17	Early Bronze Age	2.0
18	Early Bronze Age	2.2
19	Early Bronze Age	1.9
20	Early Bronze Age	1.1
21	Early Bronze Age	2.6
22	Early Bronze Age	2.2
23	Early Bronze Age	1.7
24	Early Bronze Age	1.1
25	Late Bronze Age	10.4
26	Late Bronze Age	5.9
27	Late Bronze Age	12.8
28	Late Bronze Age	4.6
29	Late Bronze Age	7.8
30	Late Bronze Age	4.1
31	Late Bronze Age	2.6
32	Late Bronze Age	8.4
33	Late Bronze Age	5.2
34	Late Bronze Age	4.5
35	Late Bronze Age	4.1
36	Late Bronze Age	4.0
37	Late Bronze Age	11.2
38	Late Bronze Age	6.7
39	Late Bronze Age	5.8
40	Late Bronze Age	3.9
41	Late Bronze Age	9.2
42	Late Bronze Age	5.6
43	Late Bronze Age	5.4
44	Late Bronze Age	4.8
45	Late Bronze Age	4.2
46	Late Bronze Age	3.0
47	Late Bronze Age	6.1
48	Late Bronze Age	5.1
49	Late Bronze Age	6.3
50	Late Bronze Age	12.3
51	Late Bronze Age	3.9
