Num	Area	Site	Period
1	19.00	Hlg001	Early
2	16.50	Hlg004	Middle
3	16.10	Hlg002	Late
4	19.20	Hlg001	Late
5	15.20	Hlg005	Middle
6	20.40	Hlg001	Middle
7	16.40	Hlg002	Early
8	16.40	Hlg002	Late
9	16.40	Hlg002	Middle
10	15.40	Hlg005	Early
11	20.60	Hlg001	Middle
12	17.20	Hlg004	Middle
13	19.90	Hlg003	Late
14	22.01	Hlg001	Late
15	21.11	Hlg003	Early
16	16.51	Hlg002	Early
17	22.71	Hlg003	Middle
18	20.81	Hlg001	Late
19	15.81	Hlg005	Late
20	16.52	Hlg004	Early
21	21.12	Hlg003	Late
22	18.22	Hlg001	Late
23	23.22	Hlg003	Early
24	16.32	Hlg005	Late
25	16.13	Hlg005	Early
26	15.33	Hlg002	Early
27	16.83	Hlg004	Early
28	16.43	Hlg004	Middle
29	13.04	Hlg002	Late
30	21.14	Hlg003	Middle
31	18.24	Hlg005	Early
32	17.34	Hlg002	Late
33	14.84	Hlg004	Middle
34	17.34	Hlg005	Middle
35	21.64	Hlg001	Early
36	15.74	Hlg005	Early
37	19.84	Hlg001	Middle
38	22.99	Hlg003	Early
39	15.94	Hlg002	Middle
40	23.05	Hlg003	Middle
41	24.15	Hlg001	Early
42	20.35	Hlg003	Middle
43	18.95	Hlg004	Early
44	16.85	Hlg002	Middle
45	19.95	Hlg003	Early
46	20.16	Hlg001	Early
47	19.16	Hlg003	Middle
48	17.66	Hlg004	Early
49	15.26	Hlg001	Middle
50	16.26	Hlg005	Middle
51	19.46	Hlg002	Late
52	15.46	Hlg005	Early
53	18.66	Hlg002	Early
54	18.36	Hlg004	Middle
55	16.07	Hlg005	Late
56	17.17	Hlg002	Middle
57	17.17	Hlg003	Late
58	20.47	Hlg003	Late
59	23.57	Hlg003	Late
60	22.77	Hlg001	Middle
61	22.77	Hlg003	Late
62	15.87	Hlg005	Late
63	15.08	Hlg005	Middle
64	18.28	Hlg001	Early
65	15.78	Hlg004	Late
66	16.98	Hlg004	Late
67	20.58	Hlg001	Early
68	16.08	Hlg004	Early
69	21.68	Hlg003	Middle
70	15.09	Hlg005	Late
71	17.79	Hlg004	Late
72	17.09	Hlg004	Late
73	21.69	Hlg001	Middle
74	21.69	Hlg001	Late
75	20.69	Hlg003	Early
76	24.99	Hlg003	Early
