Num	Temper	Surface
1	Sand	Red
2	Sand	Red
3	Sand	Red
4	Shell	Plain
5	Sand	Red
6	Sand	Plain
7	Sand	Red
8	Shell	Plain
9	Shell	Red
10	Shell	Red
11	Sand	Plain
12	sand	Red
13	Sand	Red
14	Sand	Plain
15	Sand	Plain
16	Shell	Plain
17	Shell	Plain
18	Shell	Red
19	Shell	Plain
20	Sand	Plain
21	Shell	Red
22	Shell	Plain
23	Sand	Red
24	Shell	Plain
25	Shell	Red
26	Sand	Red
27	Shell	Red
28	Shell	Red
29	Sand	Plain
30	Sand	Red
31	Shell	Plain
32	Shell	Red
33	Sand	Red
34	Sand	Plain
35	Sand	Plain
36	Shell	Plain
37	Shell	Red
38	Shell	Red
39	Sand	Plain
40	Sand	Plain
41	Sand	Red
42	Sand	Red
43	Sand	Plain
44	Sand	Red
45	Shell	Plain
46	Sand	Red
47	Sand	Red
48	Sand	Red
49	Shell	Red
50	Shell	Plain
51	Shell	Red
52	Shell	Plain
