Num	Zircon	Color
1	137.6	Black
2	135.3	Gray
3	137.3	Black
4	137.1	Gray
5	138.9	Gray
6	138.5	Gray
7	137.0	Gray
8	138.2	Black
9	138.4	Black
10	135.8	Gray
11	137.4	Black
12	140.9	Black
13	136.4	Black
14	138.8	Black
15	136.8	Gray
16	136.3	Gray
17	135.1	Black
18	132.9	Gray
19	136.2	Gray
20	139.7	Gray
21	139.1	Black
22	139.2	Gray
23	132.6	Gray
24	134.3	Gray
25	138.6	Gray
26	138.6	Black
27	139.0	Black
28	131.5	Gray
29	142.5	Black
30	137.4	Gray
31	141.7	Black
32	136.0	Gray
33	136.9	Black
34	135.0	Gray
35	140.3	Black
36	135.7	Black
