"weight","period"
54,"Early Archaic"
39,"Early Archaic"
49,"Early Archaic"
65,"Early Archaic"
54,"Early Archaic"
83,"Early Archaic"
75,"Early Archaic"
45,"Early Archaic"
68,"Early Archaic"
47,"Early Archaic"
57,"Early Archaic"
19,"Early Archaic"
47,"Early Archaic"
58,"Early Archaic"
76,"Early Archaic"
50,"Early Archaic"
67,"Early Archaic"
52,"Early Archaic"
40,"Early Archaic"
58,"Early Archaic"
42,"Early Archaic"
43,"Early Archaic"
58,"Early Archaic"
28,"Early Archaic"
59,"Early Archaic"
43,"Early Archaic"
45,"Early Archaic"
60,"Early Archaic"
27,"Early Archaic"
64,"Early Archaic"
73,"Early Archaic"
70,"Early Archaic"
68,"Early Archaic"
68,"Early Archaic"
85,"Early Archaic"
49,"Early Archaic"
21,"Early Archaic"
24,"Early Archaic"
50,"Early Archaic"
52,"Early Archaic"
62,"Early Archaic"
44,"Early Archaic"
61,"Early Archaic"
30,"Early Archaic"
52,"Early Archaic"
56,"Early Archaic"
63,"Early Archaic"
53,"Early Archaic"
79,"Early Archaic"
50,"Early Archaic"
54,"Early Archaic"
51,"Early Archaic"
59,"Early Archaic"
60,"Early Archaic"
48,"Early Archaic"
40,"Early Archaic"
50,"Early Archaic"
69,"Early Archaic"
71,"Middle Archaic"
64,"Middle Archaic"
59,"Middle Archaic"
65,"Middle Archaic"
54,"Middle Archaic"
65,"Middle Archaic"
63,"Middle Archaic"
52,"Middle Archaic"
44,"Middle Archaic"
73,"Middle Archaic"
70,"Middle Archaic"
56,"Middle Archaic"
46,"Middle Archaic"
61,"Middle Archaic"
49,"Middle Archaic"
51,"Middle Archaic"
61,"Middle Archaic"
70,"Middle Archaic"
51,"Middle Archaic"
42,"Middle Archaic"
73,"Middle Archaic"
51,"Middle Archaic"
74,"Middle Archaic"
40,"Middle Archaic"
67,"Middle Archaic"
51,"Middle Archaic"
59,"Middle Archaic"
68,"Middle Archaic"
63,"Middle Archaic"
64,"Middle Archaic"
78,"Middle Archaic"
62,"Middle Archaic"
78,"Middle Archaic"
57,"Middle Archaic"
59,"Middle Archaic"
31,"Middle Archaic"
69,"Middle Archaic"
32,"Middle Archaic"
69,"Middle Archaic"
80,"Middle Archaic"
78,"Middle Archaic"
69,"Middle Archaic"
34,"Late Archaic"
39,"Late Archaic"
40,"Late Archaic"
45,"Late Archaic"
37,"Late Archaic"
32,"Late Archaic"
31,"Late Archaic"
60,"Late Archaic"
58,"Late Archaic"
45,"Late Archaic"
50,"Late Archaic"
40,"Late Archaic"
41,"Late Archaic"
38,"Late Archaic"
59,"Late Archaic"
37,"Late Archaic"
28,"Late Archaic"
37,"Late Archaic"
31,"Late Archaic"
40,"Late Archaic"
34,"Late Archaic"
37,"Late Archaic"
44,"Late Archaic"
47,"Late Archaic"
54,"Late Archaic"
36,"Late Archaic"
48,"Late Archaic"
