Site	Material	Length
Pine Ridge Cave	Chert	25.8
Pine Ridge Cave	Chert	6.3
Pine Ridge Cave	Flint	44.6
Pine Ridge Cave	Chert	21.3
Pine Ridge Cave	Flint	25.7
Pine Ridge Cave	Chert	20.6
Pine Ridge Cave	Chert	22.2
Pine Ridge Cave	Chert	10.5
Pine Ridge Cave	Chert	18.9
Pine Ridge Cave	Chert	25.9
Pine Ridge Cave	Chert	23.8
Pine Ridge Cave	Chert	22
Pine Ridge Cave	Chert	10.6
Pine Ridge Cave	Flint	33.2
Pine Ridge Cave	Chert	16.8
Pine Ridge Cave	Chert	21.8
Pine Ridge Cave	Flint	48.3
Willow Flats	Chert	15.8
Willow Flats	Flint	39.4
Willow Flats	Flint	43.5
Willow Flats	Flint	39.8
Willow Flats	Chert	16.3
Willow Flats	Flint	40.5
Willow Flats	Flint	91.7
Willow Flats	Chert	21.7
Willow Flats	Chert	17.9
Willow Flats	Flint	29.3
Willow Flats	Flint	39.1
Willow Flats	Flint	42.5
Willow Flats	Flint	49.6
Willow Flats	Chert	13.7
Willow Flats	Chert	19.1
Willow Flats	Flint	40.6
Willow Flats	Flint	49.1
Willow Flats	Flint	41.7
Willow Flats	Chert	15.2
Willow Flats	Chert	21.2
Willow Flats	Flint	30.2
Willow Flats	Flint	40
Willow Flats	Chert	20.2
Willow Flats	Flint	31.9
Willow Flats	Flint	42.3
Willow Flats	Flint	47.2
Willow Flats	Flint	50.5
Willow Flats	Chert	10.6
Willow Flats	Chert	23.1
Willow Flats	Flint	44.1
Willow Flats	Flint	45.8
