,1,2,3,4,5,6,7,8,9,10,11,12
1,1,0.978,0.901,0.509,0.28,0.283,0.328,0.369,0.359,0.477,-0.048,-0.353
2,0.978,1,0.956,0.553,0.357,0.378,0.419,0.455,0.437,0.478,-0.023,-0.349
3,0.901,0.956,1,0.704,0.565,0.588,0.606,0.606,0.568,0.512,0.107,-0.187
4,0.509,0.553,0.704,1,0.924,0.859,0.758,0.665,0.54,0.342,0.627,0.35
5,0.28,0.357,0.565,0.924,1,0.973,0.895,0.807,0.694,0.34,0.553,0.469
6,0.283,0.378,0.588,0.859,0.973,1,0.964,0.89,0.781,0.376,0.429,0.394
7,0.328,0.419,0.606,0.758,0.895,0.964,1,0.968,0.89,0.457,0.208,0.292
8,0.369,0.455,0.606,0.665,0.807,0.89,0.968,1,0.96,0.517,0.032,0.203
9,0.359,0.437,0.568,0.54,0.694,0.781,0.89,0.96,1,0.63,-0.082,0.133
10,0.477,0.478,0.512,0.342,0.34,0.376,0.457,0.517,0.63,1,-0.035,-0.266
11,-0.048,-0.023,0.107,0.627,0.553,0.429,0.208,0.032,-0.082,-0.035,1,0.46
12,-0.353,-0.349,-0.187,0.35,0.469,0.394,0.292,0.203,0.133,-0.266,0.46,1
