,1,2,3,4,5,6,7,8,9,10,11,12
1,60.36,55.86,51.35,48.65,50.45,53.15,54.05,50.45,42.34,27.93,37.84,65.77
2,41.28,37.61,35.78,36.7,39.45,43.12,42.2,38.53,33.03,25.69,38.53,77.06
3,40.96,38.55,37.35,37.35,48.19,53.01,54.22,50.6,43.37,21.69,33.73,68.67
4,34.88,34.88,38.37,40.75,50,56.98,59.3,55.81,47.67,33.72,34.88,62.79
5,54.84,50.54,47.31,48.39,53.76,59.14,62.37,58.06,46.24,31.18,34.41,75.27
6,47.62,41.9,39.05,40,41.9,44.76,45.71,42.86,36.19,20,36.19,70.48
7,38.4,34.4,32,32,33.6,36.8,39.2,38.4,32,16.8,30.4,71.2
8,40,36.47,34.12,35.29,36.47,41.18,44.71,42.35,36.47,17.65,36.47,72.94
9,48.24,44.71,38.82,35.29,31.76,38.82,40,35.29,25.88,15.29,37.65,51.76
10,37.5,31.94,30.56,31.25,34.72,38.89,42.36,40.28,34.03,24.31,31.25,64.58
11,32.18,27.59,28.74,49.43,52.87,50.57,47.13,41.38,33.33,22.99,55.17,81.61
12,32.86,34.29,37.14,42.86,48.57,51.43,50,44.29,34.29,8.57,41.43,84.29
13,50.75,47.76,47.76,64.18,70.15,70.15,64.18,56.72,41.79,20.9,49.25,79.1
14,35.71,34.52,35.71,39.29,44.05,46.43,45.24,39.29,30.95,20.24,41.67,66.67
15,35.29,34.31,33.33,36.27,44.12,49.02,50.98,49.02,41.18,20.59,32.35,70.59
16,37.33,36,36,45.33,54.67,61.33,62.67,60,48,21.33,37.33,78.67
17,44,42.67,41.33,41.33,50.67,56,57.33,54.67,42.67,21.33,36,69.33
18,51.39,45.83,38.89,37.5,37.5,40.28,44.44,45.83,37.5,22.22,26.39,59.72
19,46.74,43.48,40.22,41.3,44.57,48.91,52.17,46.74,38.04,22.83,32.61,63.04
20,32.17,32.17,31.3,33.04,39.13,43.48,44.35,42.61,35.65,21.74,34.78,62.61
21,50.53,48.42,48.42,54.74,60,62.11,62.11,58.95,48.42,27.37,36.84,73.68
22,66.15,64.42,56.92,52.31,52.31,55.38,55.38,53.85,46.15,33.85,41.54,56.92
